Category,Skills
ui/ux designer,"ui development, css grid, information architecture, a/b testing, design software, cross-browser design"
software engineer,"trello, kubernetes, jira, graphql, linux, data analysis, mysql, nosql, restful apis, docker"
machine learning,"neural networks, classification algorithms, statistical modeling, ml systems, data preprocessing, machine learning operations (mlops), scikit-learn"
machine learning,"time series forecasting, speech recognition, clustering, ml systems, data science"
software engineer,"graphql, jira, tls/ssl, nosql, microservices, sql"
information technology,"remote access, email systems, sql queries, microsoft exchange, c#, tcp/ip"
artificial intelligence,"text mining, tensorflow, matplotlib, azure ai, deep learning, computer vision"
full stack developer,"responsive design, nosql, microservices, jquery, api integration, redux"
mobile application developer,"native app development, version control, app store optimization (aso), app debugging tools, app store review"
backend developer,"application security, graphql, devops, websockets, database optimization, docker compose, git, nginx, junit, version control"
mobile application developer,"android jetpack, cloud integration, uikit, app refactoring, automated testing, push notifications, google play store"
cyber security,"compliance, aws security, kali linux, identity and access management (iam), ids/ips, iso 27001, web application security, cyber intelligence, malware reverse engineering, soc analyst"
machine learning,"google cloud ai, automl, nlp techniques, ml systems, time series forecasting, tensorflow, support vector machines (svm), kubernetes, data cleaning"
big data engineer,"aws kinesis, business intelligence, big data analytics, python, big data modeling, data integration, pig"
iot developer,"data streaming, spi, edge data processing, iot solutions, iot hardware"
software engineer,"monitoring, ethical hacking, scikit-learn, kafka, graphql"
information technology,"sql queries, firewall configuration, nginx, mongodb, data encryption, aws ec2, citrix, endpoint security"
information technology,"microsoft exchange, servicenow, linux, endpoint security, api management, azure"
big data engineer,"etl tools, distributed data systems, sql-on-hadoop, big data frameworks, data storage, google cloud platform, python, data management tools, data lake"
artificial intelligence,"ai for finance, matplotlib, deep reinforcement learning, mlflow, ai solutions, lightgbm, unsupervised learning, catboost"
cyber security,"firewalls configuration, wireshark, endpoint protection, cryptography, cisa"
database developer,"data analytics, nosql databases, sharding, nosql, data storage solutions, jdbc, database troubleshooting, big data, data analysis"
cloud engineer,"cloud cost optimization, scripting, cloud management, cloud automation, cloud data warehousing, monitoring tools"
database developer,"data integration, postgresql, distributed databases, database optimization, data migration"
network engineer,"tcp/ip, bgp, ip addressing, python, cloud networking, network monitoring"
data analyst,"gcp, seaborn, text analytics, dax, data integration, sql server"
artificial intelligence,"machine learning, quantum ai, spark, scikit-learn, computer vision, gans, cloud computing"
cyber security,"pci dss, gcp security, endpoint protection, blue teaming, cyber attack mitigation, aws security, system hardening, risk management, cloud access security broker (casb), apt"
artificial intelligence,"machine learning, ai optimization, natural language understanding (nlu), ai in gaming, data mining, ai model deployment, ai productization, ai-driven analytics, xgboost, natural language processing"
data scientist,"h2o.ai, svm, hadoop, monte carlo methods, bayesian inference"
software engineer,"postgresql, ui/ux design, kubernetes, bash, oauth, agile, mysql"
machine learning,"hyperparameter tuning, docker, classification algorithms, support vector machines (svm), convolutional neural networks (cnn), pca (principal component analysis), speech recognition, knn, natural language understanding (nlu), recurrent neural networks (rnn)"
artificial intelligence,"model evaluation, catboost, speech recognition, supervised learning, python, ai in iot, ai ethics, gradient boosting, natural language understanding (nlu), quantum ai"
full stack developer,"mobile web development, kubernetes, oauth, api integration, html5, webpack, vue.js, python, github"
iot developer,"esp32, coap, iot hardware, iot device management, data integration, aws iot, embedded c, iot cloud analytics, data storage, data streaming"
web developer,"ajax, jquery, django, ci/cd, jwt token"
big data engineer,"aws redshift, database management, big data optimization, hadoop ecosystem, nosql, sql, etl tools, data pipeline, data lake"
cyber security,"cisa, cisco security, blue teaming, it governance, windows security, security risk analysis, compliance auditing"
cloud engineer,"cloud virtual machines, openstack, cloud data warehousing, aws ec2, aws lambda, service mesh"
machine learning,"logistic regression, supervised learning, text mining, data cleaning, kubernetes, data science, ml systems, big data machine learning"
artificial intelligence,"nlp, data wrangling, cloud-based ai, mlflow, natural language processing, google cloud ai"
network engineer,"site-to-site vpn, f5 networks, mpls, powershell, wireshark, packet tracer, network testing, network backbone, juniper networks, network infrastructure"
machine learning,"data preprocessing, ai frameworks, dimensionality reduction, text classification, reinforcement learning algorithms, data science, lightgbm"
cyber security,"two-factor authentication, cryptography, security incident management, metasploit, authorization, security policies, vpn, risk management"
artificial intelligence,"deep learning, quantum ai, adversarial networks, spark, convolutional neural networks (cnn), dimensionality reduction, ai optimization, ai-based optimization"
network engineer,"lan/wan, network monitoring, cisco ccnp, wireshark, network redundancy, bandwidth management, ipv6 transition, gcp networking, network management"
software engineer,"vue.js, jira, security, javascript (typescript), ui/ux design, redis, aws"
ui/ux designer,"a/b testing, html/css, ui/ux strategy, behavioral design, balsamiq, photoshop, customer experience"
machine learning,"convolutional neural networks (cnn), gradient boosting, tensorflow, lightgbm, mlflow, nlp techniques, ai frameworks, natural language processing (nlp), federated learning"
artificial intelligence,"pytorch, reinforcement learning, quantum ai, ai in security, ai model interpretability, ai optimization, python, keras"
software engineer,"rest apis, javascript (typescript), c#, ci/cd, html, embedded linux, kubernetes, pandas"
database developer,"data governance, data structures, database backup, google bigquery, nosql, data transformation, data migration strategy, java, mongodb atlas"
full stack developer,"express.js, containerization, frontend frameworks, c#, web performance optimization, graphql apis, linux, jquery, websockets"
ui/ux designer,"material design, balsamiq, brand identity, adobe xd, ux design, zeplin, typography, html5, figma"
information technology,"it support, python, sql, web servers, postgresql, firewall management, microsoft exchange, system administration, data backup, tcp/ip"
cyber security,"threat intelligence, linux security, incident response, identity and access management (iam), application security, single sign-on (sso)"
machine learning,"random forest, r, model interpretability, tensorflow, unsupervised learning, clustering, text mining, model training, model optimization"
machine learning,"data preprocessing, model deployment, model explainability, linear regression, docker, natural language understanding (nlu), transfer learning, data science, computer vision"
artificial intelligence,"computer vision, lightgbm, big data, ai productization, nlp, deep learning, scikit-learn, bayesian inference, ai in gaming, transfer learning"
backend developer,"sql, ruby, microservices, kubernetes, redis, rabbitmq, azure, database troubleshooting, database integration, docker compose"
data scientist,"dimensional modeling, data analysis, machine learning, keras, ai algorithms, r, google cloud platform"
mobile application developer,"java, ios sdk, kotlin, automated testing, kotlin coroutines, json"
big data engineer,"big data cloud services, etl, google cloud platform, data governance, hadoop security, apache flink, kubernetes, spark streaming"
cloud engineer,"linux, cloud data warehousing, cloud architecture, serverless architecture, aws"
full stack developer,"postgresql, behavior-driven development, sql, gcp, websockets, express.js, svelte, jwt, github, backend architecture"
iot developer,"data streaming, google cloud iot, javascript, embedded systems, iot application development, iot protocols, embedded systems design, nb-iot"
full stack developer,"javascript, vue.js, cloud development, sql, api integration, nosql"
big data engineer,"real-time analytics, apache hbase, java mapreduce, kubernetes, hdfs, data warehousing"
data analyst,"customer insights, r, statistical analysis, gcp, data interpretation"
ui/ux designer,"behavioral design, sketch, miro, agile, html/css, ux analytics, user journey, mobile app design, color theory, photoshop"
database developer,"data storage solutions, database query optimization, data cleansing, data analytics, jdbc, nosql databases, data integration, replication, database scripting, database clustering"
data scientist,"data governance, business intelligence, matplotlib, hyperparameter tuning, natural language processing (nlp), robust statistics, algorithm development, pandas, text mining, machine learning"
software engineer,"terraform, network security, cloud native, restful apis, machine learning, webassembly"
big data engineer,"kubernetes, aws kinesis, data integration, data processing, etl pipelines, big data cloud services, big data modeling, distributed computing, apache nifi"
cloud engineer,"cloud virtual machines, cloud databases, cloud load balancing, google cloud platform (gcp), cloud services, aws s3, cloud orchestration, cloud storage, cloud platform solutions, containers"
data analyst,"r, data reporting, data analytics, predictive analytics, data interpretation"
big data engineer,"data analytics, data storage, cloud computing, big data security, data governance, spark, cloud data solutions"
iot developer,"iot hardware, iot data processing, nb-iot, embedded systems, c++, esp32, mqtt, edge ai, data streaming"
data analyst,"data collection, customer insights, python libraries, spss, statistics"
machine learning,"model deployment, xgboost, classification algorithms, ml algorithms, pandas, data engineering"
data analyst,"data mining, agile, sql, data interpretation, google analytics, aws"
artificial intelligence,"random forest, computer vision, recurrent neural networks (rnn), model evaluation, ai ethics, unsupervised learning, data wrangling, automl, data science, supervised learning"
machine learning,"apache spark, unsupervised learning, data visualization, mlflow, aws sagemaker, convolutional neural networks (cnn), time series forecasting, recurrent neural networks (rnn), ml algorithms"
cyber security,"firewalls, ethical hacking, risk management, cve, wireshark, soc, nist"
data analyst,"machine learning, statistical analysis, spark, r, text analytics"
full stack developer,"mongodb, microservices, sql queries, ux/ui prototyping, express.js, mobile web development, web performance optimization"
data analyst,"text analytics, sas, gcp, seaborn, kaggle, python libraries, hadoop, azure, data extraction"
database developer,"backup and restore, data storage solutions, graph databases, data integration, nosql, rdbms, sql injection prevention, indexing"
database developer,"sql reporting, data access management, data privacy, aws database, data migration strategy, database backup, database design, data structures"
full stack developer,"web development, html5, firebase, devops, nosql, mongodb, behavior-driven development, javascript, mobile web development"
big data engineer,"data integration, data visualization, nosql databases, java, apache hbase"
backend developer,"service-oriented architecture, database optimization, microservices architecture, nosql, database troubleshooting, apache, data modeling, sql query optimization"
iot developer,"ai in iot, iot system architecture, java, iot security, cybersecurity (iot), data integration, embedded software, rtos, iot cloud analytics, fpga"
iot developer,"communication protocols, firmware development, arduino, ai in iot, iot protocols, blockchain (iot), sensor networks, 5g, embedded c"
iot developer,"azure iot, iot cloud analytics, blockchain (iot), iot device management, wi-fi, iot protocols, real-time systems, spi, iot security"
machine learning,"statistical modeling, time series forecasting, reinforcement learning algorithms, model deployment, speech recognition, generative adversarial networks (gans), logistic regression, data engineering, keras"
software engineer,"swiftui, oauth, prometheus, azure, blockchain, ansible"
machine learning,"hyperparameter tuning, text classification, generative adversarial networks (gans), model interpretability, ai, apache spark, computer vision, logistic regression, catboost, neural networks"
data scientist,"predictive modeling, deep learning, tensorflow, natural language processing (nlp), r, matplotlib, statistics, bayesian inference, mathematics, reinforcement learning"
database developer,"acid transactions, dax, db2, odbc, pl/sql, data integration, data migration strategy, database clustering"
full stack developer,"gcp, jquery, web performance optimization, typescript, javascript, websockets, backend architecture, linux"
ui/ux designer,"figma, sketch, css flexbox, ux/ui accessibility, product management, ui design, wireframes, user research"
cyber security,"cissp, linux security, it governance, cloudflare, blue teaming, threat detection, ransomware protection"
artificial intelligence,"deep reinforcement learning, ai for finance, ai ethics, tensorflow, data wrangling, ai productization, aws"
cloud engineer,"cloud application development, cloud monitoring, network security, linux, cloud backup, microservices, aws lambda, cloud performance, devops, virtualization"
data analyst,"excel, a/b testing, statistical analysis, rstudio, data analytics, snowflake"
artificial intelligence,"deep learning algorithms, natural language processing, computer vision algorithms, r, ai frameworks, google cloud ai, cloud computing, recurrent neural networks (rnn)"
network engineer,"routing protocols, dns, tcp optimization, network infrastructure, powershell, wide area networks, vpn, junos"
software engineer,"prometheus, embedded linux, bash, oauth, scrum, c#"
software engineer,"oauth, mongodb, trello, spark, numpy, graphql, nosql, opencv, security, microservices"
database developer,"data lake, python, replication, database automation, pl/sql, database clustering, data migration strategy, data analysis, database troubleshooting, dax"
ui/ux designer,"prototype testing, user research, trello, ui/ux strategy, ux principles, prototyping tools, wireframe tools"
machine learning,"lightgbm, ensemble methods, linear regression, pandas, model interpretability"
artificial intelligence,"catboost, ai-driven analytics, robotic process automation (rpa), ai in iot, adversarial networks"
web developer,"vercel, webpack, web security, javascript, firebase, performance optimization, kubernetes, sketch"
network engineer,"network simulation, network testing, ethernet, network protocols, wireless networks, juniper networks, site-to-site vpn, packet loss, cisco asa"
machine learning,"python, support vector machines (svm), text classification, ai models, nlp techniques, supervised learning, xgboost, lightgbm"
ui/ux designer,"html/css, mobile ux, ux design, product design, ui animation, jira, customer experience, ux principles, ui/ux strategy, information architecture"
cyber security,"malware reverse engineering, authorization, blue teaming, apt, windows security, security monitoring, it governance, splunk"
backend developer,"database design, redis streams, version control, database integration, sql query optimization"
ui/ux designer,"css grid, prototyping tools, user research, brand identity, marvel, design thinking, figma, adobe xd, material design"
cloud engineer,"microservices, cloud native, linux, vpc, api integration, cloud testing, cloud identity management, ci/cd"
backend developer,"ci/cd pipeline, mysql, docker, app performance optimization, data structures"
web developer,"python, kubernetes, nosql, ruby, docker"
database developer,"sql reporting, data privacy, data warehousing, data integrity, dynamodb, dax"
artificial intelligence,"artificial neural networks (ann), data preprocessing, google cloud ai, graph neural networks (gnn), natural language processing, catboost, ai-based optimization, mlflow"
database developer,"database query optimization, azure sql database, data migration strategy, database clustering, spark"
machine learning,"logistic regression, xgboost, mlflow, dimensionality reduction, aws sagemaker, ensemble methods, statistical modeling, reinforcement learning"
full stack developer,"test-driven development, unit testing, babel, cloud functions, devops, javascript, mobile web development, graphql, redux"
artificial intelligence,"ai in security, cloud-based ai, mlflow, ai frameworks, ai for healthcare"
full stack developer,"bootstrap, github, ci/cd, sql, svelte, c#, firebase"
full stack developer,"cloud development, ruby, microservices, kubernetes, svelte, sql queries, web development, mysql, css3, go"
software engineer,"firebase, kafka, redis, test automation, oauth2, c#, scrum, terraform"
mobile application developer,"app performance optimization, xcode, dart, kotlin coroutines, app debugging"
cloud engineer,"elastic load balancer, cloud load balancing, cloud performance, cloud infrastructure, cloud computing, aws lambda, cloud devops, scripting, linux"
cloud engineer,"cloud disaster recovery, cloud management, cloud performance, cloud native, cloud design patterns, cloud automation, cloud storage, cloud deployment, cloud deployment automation, cloud testing"
data scientist,"svm, modeling, etl, mathematics, predictive modeling, r, sql server, algorithm development, data cleaning, business intelligence"
cyber security,"risk mitigation, aws security, application security, ransomware protection, apt, threat hunting, it governance, rhel security"
full stack developer,"ux/ui prototyping, sass, serverless architecture, graphql, html5, firebase, python, node.js, nosql, go"
backend developer,"ruby, ci/cd pipeline, jwt authentication, graphql apis, nosql, sql, mysql"
web developer,"express.js, back-end frameworks, content management systems, aws, azure, drupal, mocha, kubernetes, mysql"
iot developer,"cloud-edge integration, edge computing, nb-iot, iot sensors, java, rest apis, iot solutions"
network engineer,"dns, network monitoring, sdn, wireless standards, ip addressing, network infrastructure, network virtualization, f5 networks, network troubleshooting"
full stack developer,"javascript, mobile application development, ui/ux design, nosql, kubernetes, postgresql, scrum"
database developer,"data migration, sql server, data transformation, tableau, data cleansing, sql injection prevention, python, data governance, power bi"
network engineer,"dhcp, network configuration, vpn, wireless standards, network protocols, cisco ccnp"
full stack developer,"mocha, sql queries, ci/cd, devops, unit testing, graphql apis, postgresql"
ui/ux designer,"html5, product management, typography, a/b testing, ux design, ux/ui methodologies"
artificial intelligence,"model evaluation, machine learning operations (mlops), tensorflow, catboost, reinforcement learning, reinforcement learning algorithms, data visualization, ai-driven analytics"
artificial intelligence,"xgboost, machine learning operations (mlops), mlflow, ai software development, recurrent neural networks (rnn), bayesian inference, python, ai in gaming, seaborn"
network engineer,"wireless networks, scripting, wide area networks, ntp, network virtualization"
artificial intelligence,"ai for robotics, ai in gaming, ai productization, random forest, deep learning, ai for healthcare, gans, artificial neural networks (ann)"
data analyst,"data pipeline, agile, cloud computing, jupyter notebooks, machine learning"
iot developer,"python, bluetooth, vhdl, embedded linux, sensors, data storage, device connectivity, mqtt, sensors, cybersecurity (iot)"
information technology,"windows 10, it support, it security, application development, linux os, hyper-v, hardware installation, servicenow, ssl/tls, java"
data scientist,"time series analysis, unsupervised learning, computer vision, docker, dimensionality reduction, anomaly detection, optimization, svm"
information technology,"api management, windows os, active directory, endpoint security, ssl/tls, virtual private network (vpn), business continuity, email systems"
artificial intelligence,"automl, logistic regression, model deployment, model evaluation, ai model interpretability, ai algorithms"
information technology,"windows 10, git, incident management, file management, load balancing, system administration, docker, mongodb, networking"
ui/ux designer,"responsive web design, persona development, invision, prototype testing, accessibility standards, branding"
big data engineer,"big data modeling, pig, scala, big data security, zookeeper, etl, cassandra, cloud storage, java mapreduce, nosql"
machine learning,"pandas, scikit-learn, automl, support vector machines (svm), ml systems, speech recognition, natural language processing (nlp), big data machine learning, natural language understanding (nlu)"
machine learning,"artificial intelligence, model deployment, data engineering, generative adversarial networks (gans), linear regression, numpy, tensorflow, text classification, classification algorithms, data science"
data analyst,"big data, business analysis, data reporting, data warehousing, market research, hadoop, agile, pandas, data visualization"
full stack developer,"database design, nosql, ux/ui prototyping, jquery, bootstrap, node.js"
big data engineer,"data integration, big data modeling, machine learning (big data), etl, data analytics, data management tools, mongodb"
big data engineer,"sql, mongodb, data architecture, big data optimization, distributed data systems, big data frameworks, hadoop, data processing"
database developer,"data privacy, database performance, database clustering, database query optimization, java"
iot developer,"machine learning, nb-iot, sensors, bluetooth, edge-to-cloud communication, artificial intelligence (ai), iot data processing, data mining, iot hardware, i2c"
full stack developer,"mobile application development, go, babel, sass, svelte"
artificial intelligence,"ai for finance, big data, gans, model evaluation, ai algorithms, bayesian inference, convolutional neural networks (cnn), lightgbm"
full stack developer,"jest, scrum, github, bootstrap, nosql, mocha, unit testing, ruby, html5"
web developer,"ajax, wordpress, html, php, angular"
cyber security,"zero trust architecture, encryption, redhat security, nist, burp suite"
software engineer,"etl, git, embedded linux, kubernetes, jpa"
mobile application developer,"app security encryption, continuous integration, app performance tools, mobile ui design, app store optimization (aso), kotlin coroutines"
information technology,"it security, cloud computing, powershell, system administration, it asset management"
big data engineer,"big data analytics, cloud computing, data processing, big data frameworks, hadoop security, aws redshift, data lake, cloud storage"
cyber security,"risk management, data loss prevention, nessus, cloud security, tls/ssl, advanced persistent threats, ids/ips, nist"
software engineer,"git, pandas, postgresql, websockets, microservices, angular, firebase"
backend developer,"sql, application security, java, nosql, api gateway"
cloud engineer,"k8s, cloud orchestration, cloud infrastructure, cloud data integration, cloud identity management, cloudformation, cloud backup, api gateway, ci/cd pipelines, cloud application development"
software engineer,"test automation, bash, oauth, pandas, jira, firebase, oauth2, java"
backend developer,"test automation, sql, microservices, cloud apis, jenkins, database management, continuous deployment, terraform"
software engineer,"spark, jira, numpy, docker, opencv, etl, graphql, docker, sql, agile"
mobile application developer,"app performance optimization, xcode, app security encryption, objective-c, app deployment, java, react native"
database developer,"sql server, data governance, api integration, database scaling, mongodb atlas, cloud databases, database troubleshooting, distributed databases"
data analyst,"power bi, sql queries, data interpretation, etl, survey analysis, data wrangling"
data scientist,"h2o.ai, statistics, business intelligence, natural language processing (nlp), keras, deep reinforcement learning, unsupervised learning"
cyber security,"rhel security, malware analysis, cyber intelligence, security tools, iso 27001, security incident management, zero trust architecture, mobile device management (mdm), burp suite, dlp"
information technology,"microsoft exchange, tcp/ip, disaster recovery, o365 administration, business continuity, it asset management, apache, api management"
mobile application developer,"uikit, app store review, xamarin, app store optimization (aso), version control, restful apis, app deployment, code review"
full stack developer,"unit testing, ui/ux design, node.js, git, cloud development, c#, firebase, angular, serverless architecture"
mobile application developer,"app store guidelines, app monetization, app customization, app analytics, code review"
artificial intelligence,"pytorch, ai optimization, neural networks, support vector machines (svm), tensorflow, deep reinforcement learning, python, ai model interpretability, dimensionality reduction"
artificial intelligence,"ai for healthcare, reinforcement learning, data preprocessing, cloud computing, ai productization, aws"
artificial intelligence,"spark, cloud-based ai, ai for business intelligence, r, gradient boosting, support vector machines (svm), ai algorithms, reinforcement learning, machine learning"
web developer,"material ui, es6, version control, google cloud, css3, responsive design, docker, back-end frameworks"
cyber security,"ids/ips, vpn, threat detection, threat hunting, vulnerability management, wireshark, burp suite"
data scientist,"mathematics, data modeling, neural networks, ai, kubernetes, monte carlo methods, artificial neural networks, cross-validation, data governance, statistics"
backend developer,"apis, docker, version control, jwt, ci/cd pipeline, aws lambda, apache kafka"
web developer,"version control, mockups, es6, docker, jwt"
web developer,"back-end frameworks, shopify, mocha, cross-browser compatibility, drupal, netlify, kubernetes, cms development"
software engineer,"aws, scikit-learn, azure, scrum, pytorch"
cloud engineer,"cloud orchestration, cloud computing, serverless architecture, cloud cost optimization, elastic load balancer, cloud cdn, cloud integration, service mesh, cloud automation, cloud load balancing"
data analyst,"customer insights, spss, etl, sql, numpy, data wrangling, power query, data governance"
cyber security,"nist, authorization, security tools, soc, cism, aws security, splunk, blue teaming, firewalls configuration, soc analyst"
database developer,"data replication, python, cloud database, data analytics, spark, distributed databases, data storage solutions, mysql, data management, data transformation"
big data engineer,"big data analytics, aws redshift, zookeeper, data streaming, big data querying, mongodb, business intelligence, data pipeline"
ui/ux designer,"trello, mobile app design, responsive web design, ui development, wireframe tools, ui/ux strategy"
network engineer,"junos, network troubleshooting, network monitoring, network troubleshooting tools, cisco ccna, switching, network redundancy, azure networking, tcp/ip"
network engineer,"sdn, virtual lans (vlans), junos, qos, network design, dhcp, network simulation, packet tracer"
information technology,"data encryption, data backup, azure, c#, system administration, cloud deployment, aws s3, ci/cd"
cloud engineer,"k8s, cloud services, containers, chef, cloud databases, big data on cloud, cloud deployment automation, cloud migration, cloud automation, cloud data warehousing"
network engineer,"security, qos, lan/wan, sdn, scripting, firewalls"
full stack developer,"express.js, redux, scrum, jquery, graphql, behavior-driven development"
machine learning,"ai frameworks, machine learning operations (mlops), apache spark, lightgbm, data visualization, statistical modeling, catboost, numpy, natural language processing (nlp), recurrent neural networks (rnn)"
big data engineer,"google cloud platform, mongodb, data architecture, sql, data cleansing, aws emr"
ui/ux designer,"storytelling, behavioral design, illustrator, jira, mobile app design"
cloud engineer,"ci/cd, aws, cloud event-driven architecture, iam, scripting, cloud security, cloud testing, cloud apis"
full stack developer,"go, web performance optimization, javascript, aws, azure, c#, html5, graphql apis"
software engineer,"angular, docker, confluence, hadoop, objective-c, gcp"
data analyst,"tensorflow, power bi, customer insights, database management, data collection, matplotlib, predictive analytics, data architecture, data visualization, hadoop"
data scientist,"sql server, cross-validation, data cleaning, power bi, hadoop"
web developer,"nosql, rest apis, css3, webpack, express.js, web hosting, version control, aws"
artificial intelligence,"computer vision algorithms, google cloud ai, python, spark, azure ai, deep learning algorithms, ai in gaming, ai-driven analytics, data mining"
database developer,"java, database scripting, database security, mongodb, data storage solutions, sql server"
network engineer,"snmp, wi-fi, network simulation, network protocols, ssl vpn, network troubleshooting tools, wireless standards, junos, packet loss, sd-wan"
cloud engineer,"cloud services, cloud integration, cloud architecture, microservices, cloud orchestration, serverless architecture, api integration"
ui/ux designer,"design software, user interface optimization, interaction design, sketch, css flexbox, accessibility standards, design thinking, responsive design, user interface guidelines, branding"
data scientist,"hadoop, deep learning algorithms, dimensionality reduction, robust statistics, data pipelines, spark, bayesian inference, keras, kubernetes"
iot developer,"json, cloud-edge integration, vhdl, sensors, iot device security"
full stack developer,"ruby, webpack, angular, frontend frameworks, firebase"
data analyst,"sql server, data modeling, agile, data extraction, a/b testing, hadoop, dax, machine learning, tableau"
information technology,"javascript, sql, hardware installation, aws, aws s3, endpoint security, kubernetes, system administration, email systems"
ui/ux designer,"prototyping tools, adobe xd, cross-browser design, storyboarding, figma"
software engineer,"graphql, numpy, selenium, mongodb, css, oauth2, tls/ssl, bash, vue.js, confluence"
iot developer,"i2c, communication protocols, cybersecurity (iot), fog computing, cloud platforms, raspberry pi, microcontrollers, web of things (wot), http, rtos"
database developer,"cloud database, data integration, aws redshift, t-sql, olap, mysql"
backend developer,"redis streams, cloud apis, caching strategies, database optimization, spring cloud"
cloud engineer,"service mesh, puppet, cloud data integration, iam, elastic load balancer, cloud containerization, cloud integration, cloud virtual machines, cloud cost optimization, cloud testing"
web developer,"mysql, angular, vercel, apache, ajax, performance optimization, oauth"
information technology,"sql queries, vpn configuration, automation, jenkins, javascript, aws ec2, nginx"
database developer,"couchdb, data lake, data privacy, xml, tableau, database security audits, sharding"
ui/ux designer,"wireframe tools, figma, user-centered design, storyboarding, figma prototyping, zeplin, color theory, ux analytics, trello"
big data engineer,"data analytics, spark streaming, data engineering, sql, kubernetes"
full stack developer,"mobile application development, api integration, babel, database design, web performance optimization"
machine learning,"statistical modeling, federated learning, big data machine learning, hyperparameter tuning, convolutional neural networks (cnn), automl, model deployment, ai models"
network engineer,"ipv6, ospf, bandwidth management, bgp, firewalls, ntp, sd-wan"
cloud engineer,"cloud identity management, automation, security groups, cloud load balancing, cloud containerization, cloud application development, cloud deployment"
machine learning,"aws sagemaker, data visualization, model interpretability, pca (principal component analysis), data wrangling, time series forecasting, google cloud ai, transfer learning"
mobile application developer,"android jetpack, app lifecycle management, app usability testing, native app development, app deployment, cocoapods, app performance tools, swift"
artificial intelligence,"computer vision, deep learning algorithms, convolutional neural networks (cnn), python, lightgbm, ai optimization, reinforcement learning algorithms, hadoop, edge ai, tensorflow"
iot developer,"java, azure iot, bluetooth, google cloud iot, data storage"
network engineer,"wi-fi, network simulation, network scaling, juniper networks, cisco asa, network redundancy, cloud networking, access control lists (acls), bandwidth management"
web developer,"nginx, authentication, seo, javascript, node.js, css flexbox, sketch, vue.js, heroku, performance optimization"
backend developer,"serverless, redis streams, microservices, express.js, version control, containerization, unit testing, ci/cd pipeline"
information technology,"tcp/ip, virtual private network (vpn), git, incident management, itil, tcp/ip networking, storage solutions, kubernetes"
data analyst,"data interpretation, dax, big data, data visualization, text analytics, data automation"
full stack developer,"postgresql, bootstrap, redux, graphql, web performance optimization, docker, cross-browser compatibility, node package manager (npm), graphql apis"
cyber security,"it governance, nist, security monitoring, ethical hacking, web application security, tls/ssl"
database developer,"data analytics, hadoop, database security audits, data integrity, big data, database high availability, acid transactions, data warehousing"
mobile application developer,"version control, app monetization, xcode, mobile app prototyping, push notifications, google play store, mobile ui design"
network engineer,"routing tables, network auditing, wi-fi, cisco ccna, vlans, nat, junos, ipv4"
ui/ux designer,"accessibility standards, branding, javascript, market research, user journey, responsive web design, wireframes, photoshop"
web developer,"graphql, jest, firebase, node.js, restful services, content management systems, css"
ui/ux designer,"balsamiq, ux/ui strategy, wireframing, ui animation, ui/ux best practices, ux principles, user research, color theory, sketch, design software"
cyber security,"identity and access management (iam), application security, fireeye, redhat security, nessus"
artificial intelligence,"computer vision algorithms, model deployment, edge ai, data wrangling, computer vision"
data analyst,"a/b testing, r, time series analysis, numpy, data wrangling, python libraries, sql server, sql queries"
artificial intelligence,"ai for finance, generative models, random forest, ai frameworks, tensorflow, ai for healthcare"
information technology,"sql, data backup, cloud deployment, database management, servicenow, vpn configuration, hardware installation"
database developer,"data analysis, acid transactions, database high availability, odbc, spark, api integration, mongodb"
artificial intelligence,"model deployment, quantum ai, pytorch, data visualization, ai algorithms, keras, xgboost"
iot developer,"nb-iot, network programming, rest apis, edge data processing, aws iot, c"
machine learning,"reinforcement learning algorithms, hyperparameter tuning, model training, automl, data science, text classification, dimensionality reduction"
data analyst,"python, kaggle, business intelligence, spark, pandas, data science, spss, snowflake"
cyber security,"data loss prevention, soc analyst, apt, redhat security, compliance, mobile device management (mdm)"
machine learning,"deep learning, automl, google cloud ai, data visualization, ai frameworks"
network engineer,"wi-fi, sd-wan, cisco, ipsec, network monitoring"
cyber security,"rhel security, cyber intelligence, advanced persistent threats, kali linux, single sign-on (sso)"
data scientist,"jupyter notebooks, google cloud platform, reinforcement learning, unsupervised learning, h2o.ai, dimensionality reduction, feature engineering, anomaly detection, supervised learning, deep learning algorithms"
big data engineer,"data integration, aws, data visualization, etl tools, aws redshift, data architecture, sql, java mapreduce"
ui/ux designer,"balsamiq, wireframe sketches, product design, responsive web design, wireframing, cross-browser design, color theory"
machine learning,"python, speech recognition, nlp techniques, automl, pca (principal component analysis), model deployment"
data scientist,"robust statistics, data security, data cleaning, collaborative filtering, ai algorithms, monte carlo methods, algorithm development"
big data engineer,"distributed data systems, big data security, aws redshift, data visualization, data integration"
information technology,"javascript, aws s3, hyper-v, linux os, system monitoring, managed services, network security"
cloud engineer,"network security, cloud design patterns, cloud compliance, puppet, cloud performance"
iot developer,"cloud-edge integration, machine learning, iot solutions, iot protocols, iot cloud analytics"
ui/ux designer,"user interface optimization, responsive design, illustrator, user testing, accessibility standards, agile, usability testing, user interface guidelines, sketch"
data scientist,"data cleaning, sql queries, docker, kubernetes, machine learning, numpy, spark, jupyter notebooks, unsupervised learning"
software engineer,"data analysis, numpy, mongodb, aws, python, css, kotlin, github, jpa"
web developer,"css, drupal, angular, nginx, ux/ui design, node.js"
